time	theta_1	theta_2	theta_3	phi	psi	theta_1_dot	theta_2_dot	theta_3_dot	phi_dot	psi_dot	motor_1_mode	motor_1_theta	motor_1_angvel	motor_1_torque_limit	motor_1_torque	motor_2_mode	motor_2_theta	motor_2_angvel	motor_2_torque_limit	motor_2_torque	motor_3_mode	motor_3_theta	motor_3_angvel	motor_3_torque_limit	motor_3_torque
1726	-0.00306796157577	0.013805827091	1.38518465146	0	0	-0.0	-0.0	1.6587609211	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
1752	-0.00460194236366	0.013805827091	1.43427203667	0	0	-0.0	-0.0	1.79699099785	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
1779	-0.00306796157577	0.013805827091	1.48642738346	0	0	-0.0	-0.0	1.7509143056	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
1804	-0.00306796157577	0.013805827091	1.53858273025	0	0	-0.0	-0.0	1.6587609211	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
1830	-0.00306796157577	0.013805827091	1.58613613467	0	0	-0.0	-0.0	1.61268422884	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
1855	-0.00306796157577	0.013805827091	1.62601963516	0	0	-0.0	-0.0	1.42837745983	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
1881	-0.00306796157577	0.013805827091	1.66897109722	0	0	-0.0	-0.0	1.38230076758	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
1907	-0.00306796157577	0.013805827091	1.70118469377	0	0	-0.0	-0.0	0.921533845053	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
1931	-0.00306796157577	0.013805827091	1.71345654007	0	0	-0.0	-0.0	0.322536845769	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
1956	-0.00306796157577	0.013805827091	1.72112644401	0	0	-0.0	-0.0	0.276460153516	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
1981	-0.00306796157577	0.013805827091	1.72726236716	0	0	-0.0	-0.0	0.230383461263	0	0	0	0	Nan	1	NaN	0	0	Nan	1	NaN	0	1.8	Nan	1	NaN
2007	-0.00306796157577	0.013805827091	1.72879634795	0	0	-0.0	-0.0	0.0	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
2032	-0.00306796157577	0.013805827091	1.73033032874	0	0	-0.0	-0.0	0.0	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
